timestamp,market,direction,action,price,edge,stake,probability,profit_usdc,modus,target_price
2026-03-18 10:23:45,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,SELL_TP,0.36,0,1,0,0.125,LIVE,0
2026-03-18 10:23:47,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,BUY,0.3,0.2435,1,0.5435,0,LIVE,0.324
2026-03-18 10:23:50,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,SELL_TP,0.33,0,1,0,0.1,LIVE,0
2026-03-18 10:23:54,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,BUY,0.39,0.2183,1,0.6083,0,LIVE,0.4212
2026-03-18 10:24:05,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,SELL_TP,0.48,0,1,0,0.2308,LIVE,0
2026-03-18 10:24:11,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,BUY,0.54,0.238,1,0.778,0,LIVE,0.5832
2026-03-18 10:24:19,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,SELL_TP,0.59,0,1,0,0.0926,LIVE,0
2026-03-18 10:24:27,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,BUY,0.65,0.1757,1,0.8257,0,LIVE,0.702
2026-03-18 10:24:32,"Bitcoin Up or Down - March 18, 5:20AM-5:25AM ET",DOWN,SELL_SL,0.56,0,1,0,-0.1385,LIVE,0
2026-03-18 10:50:23,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.49,0.01,1,0.5,0,LIVE,0.5292
2026-03-18 10:50:29,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.46,0,1,0,-0.0612,LIVE,0
2026-03-18 10:50:29,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.46,0.04,1,0.5,0,LIVE,0.4968
2026-03-18 10:50:40,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.41,0,1,0,-0.1087,LIVE,0
2026-03-18 10:50:41,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.41,0.09,1,0.5,0,LIVE,0.4428
2026-03-18 10:50:52,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.5,0,1,0,0.2195,LIVE,0
2026-03-18 10:50:54,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",DOWN,BUY,0.49,0.0156,1,0.5056,0,LIVE,0.5292
2026-03-18 10:51:04,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",DOWN,SELL_TP,0.53,0,1,0,0.0816,LIVE,0
2026-03-18 10:51:06,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.46,0.0342,1,0.4942,0,LIVE,0.4968
2026-03-18 10:51:13,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.33,0,1,0,-0.2826,LIVE,0
